sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,1,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,2.83211274263502,229.816710652279,4.11375506908312,-4417.66466040254,0,20.963,284.520127534866,38.1410799026489,338.656570351601,5.64427617252668,37.771,0.113165456237366,3,1
80,2,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.27725760908847,16.6639414069546,10.5096744766663,-4432.2627387507,1,21.3855,552.302416563034,45.5526307821274,623.95487992382,10.3992479987303,45.163,0.0737397288650705,3,1
80,3,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,4.56284198010206,1750.87120578523,7.14629626767896,-4428.61182486126,1,22.047,561.413493394852,49.7212975025177,630.850207678795,10.5141701279799,49.287,0.0790172696257221,3,1
80,4,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,8.69360966664543,25.3342545402953,12.0925900587091,-4440.10777867579,2,26.284,651.381166338921,58.7584377527237,737.493473134994,12.2915578855832,58.3395,0.0783798315657415,3,1
80,5,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,3.29010912339483,6960.27717705465,5.12580576773829,-4446.19551024868,1,26.2835,407.307485222816,50.4048758745193,481.846096810341,8.03076828017235,50.0425,0.103613724683974,3,1
80,6,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.87359744389951,472.504134017128,11.6898393303411,-4445.21173818521,2,24.064,616.763193368912,59.3419343233109,700.320892596245,11.6720148766041,58.9075,0.0828201906222912,3,1
80,7,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.95540940820818,116.405056188956,7.28828657202431,-4436.36776920498,2,23.155,583.55463385582,62.6121726036072,675.844405677795,11.2640734279633,62.229,0.0922456510752,3,1
80,8,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,9.58205911144508,77399.3725154661,15.1250771422375,-4446.35109093629,3,25.001,794.755560874939,71.5208854675293,894.089717953682,14.901495299228,70.9615,0.079549137325476,3,1
80,9,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,4.18198835089583,17038648.297507,8.64215402390672,-4486.56858316036,1,23.4595,481.457934260368,51.3572772741318,560.294070918083,9.33823451530139,50.9855,0.0964870604326891,3,1
80,10,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.41918926750467,16.8978378912287,10.9326508958426,-4495.3657978415,2,23.8145,621.324129462242,60.4941494464874,708.448709967613,11.8074784994602,60.0905,0.084203470489909,3,1
80,11,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,5.70402884403155,2242392442962.4,11.6457724069703,-4488.15752595101,2,25.1675,611.934394836426,62.0311113595963,705.154333447456,11.7525722241243,61.5555,0.0917744915036172,3,1
80,12,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,10.061348399959,128.68419052001,16.7440055682164,-4481.54895607633,3,24.8665,760.417071580887,71.5946401357651,849.842005137443,14.1640334189574,71.019,0.0816561427822668,3,1
80,13,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,6.49961768745854,62.0236897252569,11.9803148302118,-4525.76420463865,2,24.0575,641.043324589729,63.7443772554398,735.106614003181,12.251776900053,63.3755,0.0880687505504697,3,1
80,14,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,9.86093166820768,7561.90391649588,19.6752250473575,-4515.09150612355,3,23.5045,788.576172709465,73.7879369258881,882.628951734543,14.710482528909,73.4275,0.0824921491901751,3,1
80,15,ode,focei,lbfgsb3c,100,100,99,97,99,99,97,99,NA,7.9161997044475,201025.655196458,16.1096567084049,-4509.10224417633,3,27.245,746.687508940697,76.3234350681305,841.509946500778,14.025165775013,75.848,0.0889012153600493,3,1
80,16,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,12.8579345617659,128078498850.087,25.8505867113015,-4512.0510354134,4,27.046,838.544527769089,85.2926344871521,947.495310609818,15.7915885101636,84.9525,0.0878979700717065,3,1
80,1,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,2.82924064948179,12.7530255713827,4.08952067322871,-4417.78195330107,0,15.813,650.100600481033,8.6378298997879,682.451542521477,11.3741923753579,6.675,0.00961691004203832,3,1
80,2,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.32608478164841,16.4920117548662,10.3466710104799,-4433.22778841591,1,20.4075,1263.20571494102,10.4468084573746,1328.42314562321,22.1403857603868,8.06,0.00610774523164358,3,1
80,3,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.63379841313047,14.8795718823863,6.58907078399845,-4429.41522387748,1,38.9065,1252.8312754631,10.8777253627777,1313.87073277473,21.8978455462456,8.23,0.00641820300804712,3,1
80,4,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.1288061371062,47.7993931135316,12.8556346971009,-4440.01491024987,2,44.112,1646.65396904945,12.4140903949738,1705.83461719227,28.4305769532045,9.7355,0.00581736378828108,3,1
80,5,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,3.26235148616229,6.99958578795383,4.75488399861009,-4447.97814339783,1,49.3655,1181.78545057774,11.0738315582275,1255.20466984653,20.9200778307756,8.3985,0.00676855642534432,3,1
80,6,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,8.0906507759648,16.4131767724434,11.5281250583872,-4445.10714943403,2,54.1615,1626.24517428875,12.501687169075,1690.80394895649,28.1800658159415,9.924,0.00598187267644173,3,1
80,7,linCmt,focei,lbfgsb3c,100,100,97,97,97,97,97,97,NA,5.00425269757864,19.0297277156862,7.40756742938189,-4437.2586779064,2,60.989,1361.8436447382,11.991015791893,1440.87945719147,24.0146576198578,10.0285,0.00681125310842767,3,1
80,8,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.21964099525886,60.1126702103071,14.6160086321965,-4446.36422552933,3,69.4615,1918.08113193512,14.2616859674454,2005.59914196205,33.4266523660342,11.703,0.00586385968826486,3,1
80,9,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.08154470977059,41.669370226424,5.62061819986918,-4488.52469422148,1,69.342,1334.85346484184,11.1730715036392,1415.3726749897,23.5895445831617,8.508,0.00619155685898939,3,1
80,10,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.4694199664602,190.166738372105,11.7199862738502,-4496.15569440272,2,67.64,1530.28536391258,12.4272245168686,1611.98823359966,26.8664705599944,9.9945,0.00620135780241141,3,1
80,11,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,5.71629647468538,21.398323459804,9.8425046785406,-4494.63141574723,2,69.9065,1398.24893510342,12.051527261734,1483.65395369148,24.727565894858,10.033,0.00681516035109033,3,1
80,12,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.97481792770558,25.4079379728352,14.9680037850789,-4482.79862151447,3,70.7055,1840.48565173149,14.1300982236862,1928.90176850224,32.1483628083706,11.675,0.00609982404690525,3,1
80,13,linCmt,focei,lbfgsb3c,100,100,98,97,98,98,97,98,NA,6.75460082440421,18634.3262292408,11.4159987139654,-4526.31061627458,2,69.4605,1675.32214176655,12.7062666416168,1759.68789102173,29.3281315170288,10.375,0.0060857932355002,3,1
80,14,linCmt,focei,lbfgsb3c,100,100,99,99,99,99,99,99,NA,9.2185482381474,85.4241544136932,13.8601266247703,-4515.81988617,3,67.785,1932.38626289368,14.2161521911621,2014.95563956642,33.5825939927737,12.0205,0.00605481860858779,3,1
80,15,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.96162482382099,603.39048479283,12.0080832859125,-4510.96188204201,3,68.0505,1992.57811927795,14.8042067289352,2067.8273997097,34.4637899951617,12.1785,0.00606635071338714,3,1
80,16,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,12.1311026222174,92.7545181984193,19.1982871203152,-4512.21082639873,4,70.498,2175.38219845295,16.5664719343185,2263.25409699917,37.7209016166528,13.7885,0.00615120125127026,3,1
40,1,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,3.41523086080874,11.0361550792834,5.03324296753459,-2210.25899044425,0,13.016,476.769962668419,4.74113917350769,508.153588978767,8.46922648297946,3.4495,0.00689794074742987,3,1
40,1,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,3.47530399232445,11.0569761897879,5.55651295462189,-2209.33175210752,0,44.432,442.241466403008,20.2588820457458,513.220499803543,8.55367499672572,18.854,0.0362124145179051,3,1
40,2,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,8.09916549252307,18.2612934560689,13.9102432376967,-2221.85289504474,1,22.201,854.959660172462,5.56787919998169,888.762247907639,14.812704131794,4.1135,0.00467059028352669,3,1
40,2,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,8.05232789965383,98.6499020377846,14.0047291729468,-2221.48429541309,1,48.0165,811.610307455063,23.2438739538193,885.172884215355,14.7528814035892,22.209,0.0255250053594254,3,1
40,3,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,5.277621100662,41.3341119272158,9.43508155613941,-2214.75809721486,1,26.147,823.434526085854,5.90853416919708,852.559563124657,14.2093260520776,4.289,0.00510607986581932,3,1
40,3,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,5.46939835986994,85.2538980256816,10.1933381696705,-2215.95921498329,1,48.455,844.874046802521,26.6562141180038,917.269923350334,15.2878320558389,25.3425,0.0277631243718629,3,1
40,4,linCmt,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,9.64376352325727,46055.5778887715,20.6320074921699,-2223.46939591175,2,34.417,1104.40180671215,6.53379046916962,1155.37337138939,19.2562228564898,4.9425,0.00420486173921007,3,1
40,4,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.71216676909825,201.932601293998,20.8045907235084,-2225.49375334088,2,49.583,1183.72813391685,30.1282494068146,1266.53578343296,21.1089297238827,29.136,0.0222872602095003,3,1
40,5,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.05333345452793,11.6782944318955,6.78505691652076,-2225.46071645291,1,43.9825,763.940840363503,5.79009807109833,816.340912439346,13.6056818739891,4.2595,0.00520406584921802,3,1
40,5,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,3.95623033180468,17.0631242932717,6.83937844762509,-2224.1145906096,1,47.669,765.634981155396,25.6519522666931,834.244986883163,13.9040831147194,24.6615,0.029196928136618,3,1
