sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,1,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,2.8321127426350197,1350.4630895174437,4.113755069083119,-4417.664660402544,0,20.738999999999997,166.56457114219666,39.00007247924805,234.3141179637909,3.905235299396515,38.6285,0.16504652552057164,3,1
80,2,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.192229254887444,16.663941406954606,10.497751109341197,-4431.556727402123,1,20.939999999999998,405.34413146972656,46.06771683692932,479.46282587718963,7.99104709795316,45.47100000000001,0.0999444039692807,3,1
80,3,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,4.442974993182643,1750.8712057852313,7.146296267678961,-4427.979833871057,1,22.686,437.9331884384155,50.02416276931763,509.85264487552644,8.497544081258773,49.358999999999995,0.09938516194443345,3,1
80,4,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,8.774942697733199,418.67305616687196,12.481835727553113,-4437.152357192746,2,25.808500000000002,496.1484749317169,59.2856787443161,579.0039149541855,9.650065249236425,58.9335,0.09994928559933873,3,1
80,5,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,3.2901091233948296,434056626740.8415,5.125805767738292,-4446.195510248679,1,24.3675,276.7183599472046,50.734827876091,351.4822066287994,5.858036777146657,50.281000000000006,0.13780487882781467,3,1
80,6,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.606480168671467,472.50413401712825,11.360075067724203,-4443.956364862153,2,22.069000000000003,439.42505717277527,59.21430158615112,518.5677571020126,8.64279595170021,58.803999999999995,0.11233873477512246,3,1
80,7,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.9678295279519435,648.9244825345713,8.564092236110076,-4436.284722731137,2,23.28,444.031081199646,62.640013337135315,530.706002207756,8.845100036795934,62.25049999999999,0.11664436953447044,3,1
80,8,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.429115638355627,209.53416284210394,15.798586195575544,-4440.514633989,3,23.826,599.8145861625671,71.09595596790314,696.9339490203857,11.615565817006429,70.68299999999999,0.10022832718502837,3,1
80,9,ode,focei,lbfgsb3c,100,100,100,97,100,100,97,100,NA,4.141286309594764,17038648.29750699,8.64215402390672,-4482.9932985012,1,22.323999999999998,351.2406157255173,51.98263919353485,423.5866776609421,7.059777961015701,51.3865,0.11801285225129945,3,1
80,10,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.300653307136544,16.89783789122867,10.873144527384875,-4493.006910835999,2,24.0705,441.6640738248825,61.01099753379822,530.3061666784286,8.838436111307143,60.6015,0.11281907744596521,3,1
80,11,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,5.54702345158106,3805.1945624155305,10.9405664380446,-4488.157525951011,2,24.411,452.1888231039047,62.09857094287872,540.8687816238403,9.01447969373067,61.617000000000004,0.11075744893459971,3,1
80,12,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.374213546308564,128.68419052001045,16.783556981419746,-4478.800858482544,3,25.498,600.0337355136871,70.90185308456421,696.8002180604935,11.613336967674892,70.4105,0.10218176616765773,3,1
80,13,ode,focei,lbfgsb3c,100,100,100,98,100,100,98,100,NA,6.04501969277048,192871.13065706275,11.356843341123152,-4523.981817777694,2,23.649500000000003,440.74576437473297,63.497310757637024,531.6922613592147,8.861537689320246,63.139,0.11794922954196568,3,1
80,14,ode,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.121712644985811,812.9760897319958,14.113855856724731,-4511.876914702054,3,24.542500000000004,571.0311614274979,73.33786940574646,668.1478123235702,11.135796872059503,72.88149999999999,0.10996148750982479,3,1
80,15,ode,focei,lbfgsb3c,100,100,98,95,98,98,95,98,NA,7.897362059430327,201025.6551964582,14.404001479541547,-4506.5449462869565,3,29.2605,573.4567515850067,75.72049748897552,677.2068127689361,11.286780212815602,75.375,0.11007892991939663,3,1
80,16,ode,focei,lbfgsb3c,100,100,100,99,100,100,99,100,NA,12.020872549807573,128078498850.08687,21.813956017363907,-4510.198444505313,4,26.5315,693.716440320015,84.67812776565552,797.3819716234207,13.289699527057012,84.36350000000002,0.1034444077933801,3,1
