sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,1,linCmt,focei,lbfgsb3c,9,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,14,cl,BMI,power,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,33,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,39,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,44,vc,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,47,cl,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,50,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,50,cl,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,60,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,74,cl,CrCL,lin,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,81,vc,BW,power,FALSE,TRUE,FP
80,1,linCmt,focei,lbfgsb3c,81,vc,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,focei,lbfgsb3c,1,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,2,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,3,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,4,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,5,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,5,vc,BMI,power,FALSE,TRUE,FP
80,2,linCmt,focei,lbfgsb3c,6,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,7,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,8,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,8,cl,SEX,cat,FALSE,TRUE,FP
80,2,linCmt,focei,lbfgsb3c,9,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,9,cl,BMI,power,FALSE,TRUE,FP
80,2,linCmt,focei,lbfgsb3c,10,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,11,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,12,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,13,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,lbfgsb3c,14,vc,SEX,cat,TRUE,TRUE,TP
