sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,1,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,2.829240649481788,12.753025571382674,4.089520673228708,-4417.781953301074,0,70.48250000000002,420.25362026691437,9.356344819068909,502.2150359830856,8.370250599718094,6.679499999999999,0.013007828266722282,3,1
80,2,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.326084781648406,16.492011754866237,10.346671010479945,-4433.227788415913,1,67.19200000000001,789.6730856895447,10.60375189781189,872.9202273817062,14.548670456361771,8.086000000000002,0.00917753387461642,3,1
80,3,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.607896958557005,15.395551791248353,6.383774809626951,-4429.356609508356,1,67.1865,790.4324020147324,10.410369992256165,870.5859965744019,14.509766609573365,8.2635,0.009389727458667065,3,1
80,4,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.024079305682537,37.90801930881692,12.762190976470347,-4437.991721450147,2,69.55000000000001,1162.5212839841843,12.579073786735535,1248.4745336322785,20.807908893871307,9.731,0.007775337131467206,3,1
80,5,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,3.207265102960333,6.9995857879538255,4.622068847283696,-4447.97814339783,1,68.786,797.9716814756393,10.627461671829224,880.1047542076111,14.668412570126852,8.437999999999999,0.009545501538388023,3,1
80,6,linCmt,focei,lbfgsb3c,99,99,100,100,100,100,100,100,NA,7.937813681971637,16.413176772443368,11.557408591452015,-4442.762772191409,2,63.382000000000005,1148.5248329639435,12.020553350448608,1237.3637973918915,20.622729956531526,9.870000000000001,0.007988486956160145,3,1
80,7,linCmt,focei,lbfgsb3c,100,100,97,97,97,97,97,97,NA,4.995211645032526,19.02972771568619,7.17781695171341,-4436.556436374781,2,74.15650000000001,1110.7249734401703,12.659254312515259,1198.7919575777055,19.979865959628423,9.9865,0.008204597509943318,3,1
80,8,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.219640995258857,26.831904263021706,13.33322959736159,-4446.364225529331,3,71.885,1514.4857912063599,14.275806307792664,1605.9845110149383,26.76640851691564,11.646500000000001,0.00727930200071333,3,1
80,9,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,4.131065609868504,41.66937022642396,5.690990608578308,-4488.524694221478,1,71.5215,991.5758322477341,11.06239378452301,1076.9007317609787,17.948345529349645,8.559,0.008576642131502072,3,1
80,10,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.469419966460205,190.16673837210502,11.319453827117764,-4494.835015597118,2,72.0995,1190.872014760971,12.649786710739136,1276.8524967947005,21.280874946578344,9.9795,0.007774434096839932,3,1
80,11,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,5.716296474685383,21.39832345980399,9.737996147985305,-4494.631415747232,2,68.908,1128.0922838449478,12.084376215934753,1209.3615211286544,20.15602535214424,10.040500000000005,0.008247938666490755,3,1
80,12,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.807973793328399,32.63751480392065,14.122759868128746,-4482.437049147136,3,70.744,1432.5802929401398,13.3929523229599,1519.1227645473482,25.318712742455805,11.6645,0.007832182843101068,3,1
80,13,linCmt,focei,lbfgsb3c,100,100,98,97,98,98,97,98,NA,6.454938666514304,18634.326229240763,11.41599871396538,-4526.310616274579,2,68.83500000000001,1097.9926826953888,12.411872863769531,1182.480625497818,19.708010424963632,10.430499999999999,0.008967770669377075,3,1
80,14,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,9.141197309136835,379.55527193658475,13.543345742732873,-4512.629639418481,3,67.04849999999999,1018.3476663827896,13.373448848724365,1094.430917904854,18.24051529841423,12.0015,0.011337774859609417,3,1
80,15,linCmt,focei,lbfgsb3c,100,100,100,100,100,100,100,100,NA,7.9509134264692864,603.3904847928297,12.008083285912482,-4510.132520783606,3,58.595000000000006,754.5346834659576,12.871296048164368,823.352773976326,13.722546232938766,12.292000000000002,0.014194385398749019,3,1
80,16,linCmt,focei,lbfgsb3c,100,100,98,98,98,98,98,98,NA,12.099652912085068,92.75451819841928,19.038789850532773,-4512.210826398728,4,53.151,725.3948129415512,14.315350413322449,791.2135575666427,13.186892626110712,13.907000000000002,0.01593314112033504,3,1
