method,structure,Convergence,CovStep,Power,FalsePos,Accuracy,Runtime
nlmixr2-SCM,Analytic,100,100,53,2,12.621424063001236,10.960482272990545
PsN-SCM,Analytic,84.5,42.5,48,2,12.740761596783347,7.355366666666667
nlmixr2-VAE,Analytic,100,100,32.5,3,12.471736350949996,0.950745302438736
nlmixr2-SCM,ODE,100,100,53.80952380952381,1.9047619047619049,12.341508807684562,14.376521622435252
PsN-SCM,ODE,50.5,0,44,2,11.788866666666664,46.31366666666666
nlmixr2-VAE,ODE,100,100,33.5,3,12.300284531700001,1.4863000432650249
