sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,85,1.1901666666666775,0.9240019607843171,4.084333333333339,5.48269972717511,8.918600000000012
40,1,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,85,1.0045000000000037,1.3046588235294114,4.575499999999995,6.7948374325876335,10.704600000000001
40,1,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,85,0.9410719182236515,1.9802402821160667,4.550466283034807,7.616348672835133,12.267679373780291
40,1,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,85,0,0,0,0,0
40,1,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,85,2.3266666666666618,2.2837385620915005,2.572777777777769,2.9865282000854405,4.683444444444444
40,1,advan4,nonmem_scm,focei,TVVp,structural_other,80,85,0.7557500000000061,0.7214970588235289,1.2672500000000042,1.838780934378088,2.810575000000001
40,1,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,85,-14.52450000000001,-14.05865323529412,43.5615,63.56499979431691,100.10149600000003
40,1,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,85,-5.293800000000001,-4.167914117647064,15.639,24.226765098288443,39.69734000000001
40,1,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,85,-14.023000000000007,-13.362737647058829,24.74399999999999,36.71921162051437,66.29406000000002
40,2,advan4,nonmem_scm,focei,VcSEX,covariate_beta,0.4054651081081644,69,13.198076306159201,14.040114515483179,18.979101323992918,28.095613749575186,47.130658694646826
40,2,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,69,1.7359999999999969,1.0184589371980706,3.629833333333332,5.154794526253252,8.401633333333333
40,2,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,69,-0.7615000000000016,-0.3645000000000006,6.5325,8.609066688251033,13.156299999999998
40,2,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,69,-0.5087943584961979,-0.8990725923266094,5.136255608372705,6.970197192339925,11.503049524593578
40,2,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,69,0,0,0,0,0
40,2,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,69,1.4244444444444382,1.5047423510466962,1.7683333333333346,2.9738886407098346,4.744222222222226
40,2,advan4,nonmem_scm,focei,TVVp,structural_other,80,69,0.022874999999995538,0.04535326086956474,0.9386250000000018,1.53447832852588,2.484724999999994
40,2,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,69,-8.658499999999995,-11.132912318840582,38.49099999999999,56.22475999483093,87.049
40,2,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,69,-7.331000000000004,-4.203955072463773,15.571999999999989,21.104465520938756,33.735420000000005
40,2,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,69,-20.1147,-15.850886956521743,26.414000000000005,35.731351381612086,54.870200000000004
40,3,advan4,nonmem_scm,focei,VcBW,covariate_beta,1,37,7.905999999999991,8.959194594594592,13.113799999999998,23.239811783300723,40.64059999999999
40,3,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,37,0.5721666666666699,1.1732162162162207,3.5443333333333347,5.791243501813519,9.997599999999998
40,3,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,37,1.2594999999999956,0.7655675675675669,4.522499999999994,6.792840692646609,10.404700000000005
40,3,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,37,-1.6038618644003966,-0.24815768547870343,4.742769303322708,7.393928978857443,13.030541891302816
40,3,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,37,0,0,0,0,0
40,3,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,37,1.3122222222222206,1.873918918918916,1.5333333333333248,2.957677686795102,5.096555555555558
40,3,advan4,nonmem_scm,focei,TVVp,structural_other,80,37,0.4356250000000017,0.4283310810810812,0.9606250000000038,1.647706830668333,3.0159999999999942
40,3,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,37,-4.660500000000009,-2.3277743243243267,41.59700000000001,48.06985625496122,78.31774
40,3,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,37,-0.41320000000000245,-2.8818810810810853,13.057100000000002,18.774138914762798,28.603580000000008
40,3,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,37,-9.699100000000001,-9.098756756756762,19.91810000000001,32.31272960203229,55.696
40,4,advan4,nonmem_scm,focei,VcBW,covariate_beta,1,36,0.10649999999999826,4.820819444444445,13.092500000000006,23.427934617418916,35.247499999999995
