sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
40,2,advan4,nonmem_scm,focei,14,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,15,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,16,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,17,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,18,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,19,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,19,CL,BW,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,20,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,21,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,22,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,23,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,24,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,24,VC,RACE,cat,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,25,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,26,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,26,CL,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,27,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,28,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,29,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,29,VC,BW,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,30,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,30,VC,CRCL,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,31,VC,SEX,cat,TRUE,TRUE,TP
