sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,5,advan4,nonmem_scm,focei,VC,CRCL,exp,2,FALSE,2,1,0,0,2
40,5,advan4,nonmem_scm,focei,VC,CRCL,power,2,FALSE,2,1,0,0,2
40,5,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
40,6,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,69,0.69,69,31,0
40,6,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,79,0.79,79,21,0
40,6,advan4,nonmem_scm,focei,CL,BMI,exp,3,FALSE,3,1,0,0,3
40,6,advan4,nonmem_scm,focei,CL,BMI,power,2,FALSE,2,1,0,0,2
40,6,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
40,6,advan4,nonmem_scm,focei,CL,CRCL,exp,22,FALSE,22,1,0,0,22
40,6,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
40,6,advan4,nonmem_scm,focei,CL,SEX,cat,2,FALSE,2,1,0,0,2
40,6,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
40,6,advan4,nonmem_scm,focei,VC,BW,power,2,FALSE,2,1,0,0,2
40,6,advan4,nonmem_scm,focei,VC,CRCL,power,5,FALSE,5,1,0,0,5
40,7,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,60,0.6,60,40,0
40,7,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,45,0.45,45,55,0
40,7,advan4,nonmem_scm,focei,CL,BMI,exp,1,FALSE,1,1,0,0,1
40,7,advan4,nonmem_scm,focei,CL,BMI,power,5,FALSE,5,1,0,0,5
40,7,advan4,nonmem_scm,focei,CL,BW,exp,2,FALSE,2,1,0,0,2
40,7,advan4,nonmem_scm,focei,CL,BW,power,2,FALSE,2,1,0,0,2
40,7,advan4,nonmem_scm,focei,CL,CRCL,exp,28,FALSE,28,1,0,0,28
40,7,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
40,7,advan4,nonmem_scm,focei,VC,BMI,exp,6,FALSE,6,1,0,0,6
40,7,advan4,nonmem_scm,focei,VC,BMI,power,12,FALSE,12,1,0,0,12
40,7,advan4,nonmem_scm,focei,VC,BW,exp,29,FALSE,29,1,0,0,29
40,7,advan4,nonmem_scm,focei,VC,CRCL,exp,3,FALSE,3,1,0,0,3
40,7,advan4,nonmem_scm,focei,VC,CRCL,power,5,FALSE,5,1,0,0,5
40,7,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
40,7,advan4,nonmem_scm,focei,VC,SEX,cat,3,FALSE,3,1,0,0,3
40,8,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,56,0.56,56,44,0
40,8,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,54,0.54,54,46,0
40,8,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,79,0.79,79,21,0
40,8,advan4,nonmem_scm,focei,CL,BMI,exp,2,FALSE,2,1,0,0,2
40,8,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
40,8,advan4,nonmem_scm,focei,CL,BW,exp,1,FALSE,1,1,0,0,1
40,8,advan4,nonmem_scm,focei,CL,BW,power,4,FALSE,4,1,0,0,4
40,8,advan4,nonmem_scm,focei,CL,CRCL,exp,27,FALSE,27,1,0,0,27
40,8,advan4,nonmem_scm,focei,CL,RACE,cat,4,FALSE,4,1,0,0,4
40,8,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
40,8,advan4,nonmem_scm,focei,VC,BMI,exp,10,FALSE,10,1,0,0,10
40,8,advan4,nonmem_scm,focei,VC,BMI,power,10,FALSE,10,1,0,0,10
40,8,advan4,nonmem_scm,focei,VC,BW,exp,15,FALSE,15,1,0,0,15
40,8,advan4,nonmem_scm,focei,VC,CRCL,exp,1,FALSE,1,1,0,0,1
40,8,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
40,8,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
40,9,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,43,0.43,43,57,0
40,9,advan4,nonmem_scm,focei,CL,BMI,exp,2,FALSE,2,1,0,0,2
40,9,advan4,nonmem_scm,focei,CL,BMI,power,12,FALSE,12,1,0,0,12
40,9,advan4,nonmem_scm,focei,CL,BW,exp,28,FALSE,28,1,0,0,28
40,9,advan4,nonmem_scm,focei,CL,CRCL,exp,2,FALSE,2,1,0,0,2
40,9,advan4,nonmem_scm,focei,CL,CRCL,power,5,FALSE,5,1,0,0,5
40,9,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
