method,structure,Convergence,CovStep,Power,FalsePos,Accuracy,Runtime
nlmixr2-SCM,Analytic,100,100,51.5,2,12.213587604603891,11.649405266523361
PsN-SCM,Analytic,84.5,42.5,48,2,12.740761596783347,7.355366666666667
nlmixr2-VAE,Analytic,100,100,32.5,3,12.38728837075,0.7484450936317444
nlmixr2-SCM,ODE,100,100,50,2,12.780402031509563,8.502196705389022
PsN-SCM,ODE,50.5,0,44,2,11.788866666666664,46.31366666666666
nlmixr2-VAE,ODE,100,100,33.5,3,12.175426613894686,1.0788746356964112
