sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,1,ode,39,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,39,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,39,cl,BMI,lin,FALSE,TRUE,FP
40,1,ode,40,cl,CrCL,power,FALSE,TRUE,FP
40,1,ode,41,vc,BMI,lin,FALSE,TRUE,FP
40,1,ode,42,cl,CrCL,power,FALSE,TRUE,FP
40,1,ode,42,cl,BW,lin,FALSE,TRUE,FP
40,1,ode,43,cl,BMI,power,FALSE,TRUE,FP
40,1,ode,43,cl,BW,lin,FALSE,TRUE,FP
40,1,ode,45,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,47,vc,SEX,cat,FALSE,TRUE,FP
40,1,ode,48,cl,BMI,lin,FALSE,TRUE,FP
40,1,ode,53,cl,CrCL,power,FALSE,TRUE,FP
40,1,ode,54,vc,CrCL,power,FALSE,TRUE,FP
40,1,ode,55,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,56,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,58,vc,BMI,power,FALSE,TRUE,FP
40,1,ode,60,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,62,vc,BW,power,FALSE,TRUE,FP
40,1,ode,62,cl,CrCL,lin,FALSE,TRUE,FP
40,1,ode,63,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,67,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,68,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,68,vc,SEX,cat,FALSE,TRUE,FP
40,1,ode,73,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,73,vc,BW,lin,FALSE,TRUE,FP
40,1,ode,74,vc,BW,lin,FALSE,TRUE,FP
40,1,ode,75,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,76,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,77,cl,CrCL,power,FALSE,TRUE,FP
40,1,ode,80,vc,BMI,power,FALSE,TRUE,FP
40,1,ode,81,vc,RACE,cat,FALSE,TRUE,FP
40,1,ode,86,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,87,cl,BW,power,FALSE,TRUE,FP
40,1,ode,87,cl,SEX,cat,FALSE,TRUE,FP
40,1,ode,94,cl,CrCL,lin,FALSE,TRUE,FP
40,1,ode,100,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,1,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,1,vc,BW,power,FALSE,TRUE,FP
40,2,linCmt,2,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,3,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,3,cl,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,4,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,5,vc,SEX,cat,TRUE,TRUE,TP
