sample_N,scenario,structure,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedRuntime_sec,MedRuntime_min
40,1,linCmt,100,100,100,100,100,100,100,NA,6.885015013164322,310.5280407360233,45.40851287756517,-749.5165371584222,0,26.22188448905945,0.4370314081509908
40,1,ode,100,100,100,97,100,97,100,NA,11.828889119804442,70834.19589352042,88.87968312429534,-748.0690988840494,0,36.13901674747467,0.6023169457912445
40,2,linCmt,100,100,100,100,100,100,100,NA,17.201415719946276,133.76092052430135,60.26542037689727,-759.9653591215263,1.5,30.216174721717834,0.5036029120286306
40,2,ode,100,100,100,99,100,99,100,NA,17.689221682703554,1521.0669593515647,94.83883732480793,-760.4198201985286,1,41.2518355846405,0.6875305930773418
40,3,linCmt,100,100,100,99,100,99,100,NA,12.510459863239404,2687.621555459893,68.25100048025807,-747.7231256592963,1,30.6768217086792,0.51128036181132
40,3,ode,100,100,99,95,99,95,99,NA,14.611182951481105,14718.216100070376,220.3156243748585,-747.4800325376154,1,41.5671923160553,0.6927865386009217
40,4,linCmt,100,100,99,99,99,99,99,NA,26.729220559814443,518.6732757442237,100.66027320685151,-760.5930112461629,2,31.377327799797058,0.522955463329951
40,4,ode,100,100,99,96,99,96,99,NA,24.206971880505012,2629732.911358791,156.60555574256645,-760.466234875825,2,42.821633100509644,0.7136938850084941
40,5,linCmt,100,100,100,100,100,100,100,NA,7.765826038653977,254.93903723759763,70.07817689780437,-760.9214081584687,1,30.726770997047424,0.5121128499507904
40,5,ode,100,100,99,96,99,96,99,NA,27.13698514334229,3080.132403452268,252.23368919664964,-761.8746676172032,1,41.28224742412567,0.6880374570687612
40,6,linCmt,100,100,100,100,100,100,100,NA,17.40411308130068,248.36396207864385,52.83176065189462,-756.5620671698257,2,31.15868043899536,0.5193113406499227
40,6,ode,100,100,100,91,100,91,100,NA,36.22715787470585,176717.5893127085,766.9313169549943,-756.681609251325,2,42.11823868751526,0.701970644791921
40,7,linCmt,100,100,99,99,99,99,99,NA,15.833108659051964,330.5636631696566,82.27748656665733,-758.5123432497838,2,31.72965931892395,0.5288276553153992
40,7,ode,100,100,99,94,99,94,99,NA,26.92512363937867,23796.168145690106,320.2364443522535,-758.4605949496172,2,43.129154920578,0.7188192486763001
40,8,linCmt,100,100,99,98,99,98,99,NA,31.881544215043952,2748.321140037351,133.80365449711812,-760.731766590718,3,32.342490434646606,0.5390415072441102
40,8,ode,100,100,99,76,99,76,99,NA,90.71696162647454,2218658.024735066,6881.515095206278,-760.8818288162047,3,44.55940902233124,0.742656817038854
40,9,linCmt,100,100,98,98,98,98,98,NA,9.364051862435044,754.7197910224896,85.19562167021223,-786.4839266072686,1,30.707891583442688,0.5117981930573782
40,9,ode,100,100,98,91,98,91,98,NA,40.75815692723485,99153.68732951122,246.96995711648765,-784.1295207481982,1,40.740875601768494,0.6790145933628082
40,10,linCmt,100,100,99,99,99,99,99,NA,20.802226664941102,556.3465801985282,113.87961353746643,-787.5586141268545,2,31.23966348171234,0.520661058028539
40,10,ode,100,100,100,90,100,90,100,NA,60.90577326884977,340311.0712969521,985.8949667214138,-787.2596422612697,2,42.528740644454956,0.7088123440742493
40,11,linCmt,100,100,100,99,100,99,100,NA,23.562920249238758,1050.1833207443783,140.01518901165625,-786.1162162660368,2,31.871021270751953,0.5311836878458659
40,11,ode,100,100,100,92,100,92,100,NA,60.04595983618317,36808.658609994985,547.3746755527823,-786.0565691254394,2,43.29003417491913,0.7215005695819855
40,12,linCmt,100,100,98,98,98,98,98,NA,40.25654517490242,974.054656460947,121.58769153495356,-779.9381975295121,3,32.19817233085632,0.536636205514272
40,12,ode,100,100,98,93,98,93,98,NA,58.262932368598314,51134.13332764133,582.945549032541,-779.6631377274572,3,44.234599232673645,0.7372433205445608
40,13,linCmt,100,100,99,96,99,96,99,NA,23.061343734157003,2282.1772281907593,175.32552282534016,-788.0660677652425,2,31.727357864379883,0.5287892977396648
40,13,ode,100,100,99,82,99,82,99,NA,112.5454623855121,405027.3937507058,3261.918891765338,-788.4479422472677,2,42.54700815677643,0.7091168026129405
40,14,linCmt,100,100,100,98,100,98,100,NA,32.278265779021744,2088.4918327667315,225.82018217474484,-795.4720396031084,3,32.236225962638855,0.5372704327106476
40,14,ode,100,100,100,66,100,66,100,NA,285.37078835978656,3824846.3987699626,20438.47903541509,-795.6618589991482,3,43.860498785972595,0.7310083130995433
40,15,linCmt,100,100,99,96,99,96,99,NA,27.846727358333425,36382.974077384504,343.0228143429383,-794.7275995921118,3,32.59720587730408,0.5432867646217346
40,15,ode,100,100,99,67,99,67,99,NA,232.91329659992178,120560167.04843894,142855.09197643236,-793.9916815967654,3,44.28031396865845,0.7380052328109741
40,16,linCmt,100,100,99,99,99,99,99,NA,51.00919507698717,866.791571100879,249.1761818478794,-794.9055490416595,4,33.10354709625244,0.5517257849375407
40,16,ode,100,100,99,74,99,74,99,NA,225.14960863507605,15185314.707130162,46721.86797384896,-795.8412878894144,4,45.604769706726074,0.7600794951121013
80,1,linCmt,100,100,100,100,100,100,100,NA,5.5154238872735455,156.35743034248603,11.659067356693233,-1502.5127415589614,0,38.527193665504456,0.6421198944250742
80,1,ode,100,100,100,97,100,97,100,NA,7.453900535413273,8918.417030487008,85.58273941676694,-1502.1555810994641,0,56.40612745285034,0.9401021242141724
80,2,linCmt,100,100,100,100,100,100,100,NA,11.176087494807819,117.71940693180707,18.69927256815843,-1516.8060324553624,1,43.27971613407135,0.7213286022345226
80,2,ode,100,100,100,94,100,94,100,NA,12.566948302937844,116235806.03723066,92.2962038741093,-1518.0031491683487,1,62.38754940032959,1.0397924900054931
80,3,linCmt,100,100,100,100,100,100,100,NA,8.913282407426824,666.7531330513863,29.45349060586963,-1510.6177690474024,1,43.66717302799225,0.7277862171332041
80,3,ode,100,100,100,96,100,96,100,NA,10.768503086550037,4299.7153935461765,48.517054991585645,-1509.870049405322,1,62.58695089817047,1.043115848302841
80,4,linCmt,100,100,100,100,100,100,100,NA,17.894161531836716,402.16655195318214,40.24178659452363,-1526.9928194420477,2,44.416003584861755,0.7402667264143626
80,4,ode,100,100,100,96,100,96,100,NA,16.730348807502445,744601.6726502139,98.92090305244841,-1528.2591145360861,2,64.25169122219086,1.0708615203698477
80,5,linCmt,100,100,100,100,100,100,100,NA,5.6484109525382085,144.5098143848306,15.636135109571686,-1525.5454494910398,1,43.82058393955231,0.7303430656592051
80,5,ode,100,100,100,92,100,92,100,NA,16.594928269690875,38429.29565363455,248.2471734456899,-1525.6167989843193,1,61.75247609615326,1.0292079349358876
80,6,linCmt,100,100,100,100,100,100,100,NA,12.125717344204528,331.58061836656384,21.87323630143712,-1519.84966015617,2,44.63696897029877,0.7439494828383127
80,6,ode,100,100,100,92,100,92,100,NA,27.893055924592215,1655040.4262705173,632.5390652897905,-1520.753136760828,2,63.98936200141907,1.0664893666903177
80,7,linCmt,100,100,100,100,100,100,100,NA,9.206859570258745,107.10777009171156,39.938142484817774,-1516.5047449315816,2,45.11367309093475,0.7518945515155793
80,7,ode,100,100,100,92,100,92,100,NA,25.64782645722,153154.4000603993,721.3190752479194,-1516.1922806578777,2,64.76079571247101,1.07934659520785
80,8,linCmt,100,100,100,100,100,100,100,NA,20.6777665678074,194.80966092042866,41.36414381181354,-1525.7964188786536,3,45.79407024383545,0.7632345040639241
80,8,ode,100,100,100,92,100,92,100,NA,30.144396822595116,37015.947811649276,900.1849500650044,-1524.8460862635552,3,66.8272225856781,1.113787043094635
80,9,linCmt,100,100,100,100,100,100,100,NA,8.276762008334677,417.54699931858977,97.9478118062503,-1555.9075273352119,1,43.86346912384033,0.7310578187306722
80,9,ode,100,100,100,94,100,94,100,NA,28.270846131433373,258542.67267701833,306.65221658766654,-1554.0239783483203,1,62.33438682556152,1.038906447092692
80,10,linCmt,100,100,100,100,100,100,100,NA,13.622358211144793,483.3639073313929,31.467535879770505,-1563.6854292898986,2,44.68106150627136,0.7446843584378561
80,10,ode,100,100,100,89,100,89,100,NA,32.26211630352038,15871.175615445716,1041.7273274694169,-1564.4053813410928,2,64.51167464256287,1.0751945773760478
80,11,linCmt,100,100,100,100,100,100,100,NA,11.335266234377041,749.7680134097516,80.61252885510262,-1561.3082398156173,2,45.08620762825012,0.7514367938041687
80,11,ode,100,100,100,88,100,88,100,NA,38.79684653414725,235562.6630197276,1347.9192822790492,-1560.8494671188334,2,65.09935808181763,1.0849893013636271
80,12,linCmt,100,100,100,100,100,100,100,NA,23.728146810395167,570.5225674521806,83.17590011207183,-1557.808504988328,3,45.86735796928406,0.7644559661547343
80,12,ode,100,100,100,90,100,90,100,NA,43.13570183921992,492822.0457980798,879.1040401256515,-1557.7687486748869,3,66.7748851776123,1.112914752960205
80,13,linCmt,100,100,100,100,100,100,100,NA,17.39049601184457,419.4964384536391,46.514484245170166,-1582.1279187928794,2,45.08142280578613,0.7513570467631022
80,13,ode,100,100,99,75,99,75,99,NA,114.38704697973769,1807833.1060571824,9004.889213732718,-1579.5834598940942,2,64.1097936630249,1.0684965610504151
80,14,linCmt,100,100,100,97,100,97,100,NA,23.212138544492305,258364.8319131376,151.22776024790008,-1575.2166333876612,3,46.325520277023315,0.7720920046170553
80,14,ode,100,100,100,73,100,73,100,NA,203.41075403503243,238725.06643988588,7413.128854042669,-1576.5223008798926,3,66.61074447631836,1.110179074605306
80,15,linCmt,100,100,100,99,100,99,100,NA,22.127421847015366,3093.018719029228,207.9779926894219,-1568.7547883792859,3,46.699084520339966,0.7783180753389994
80,15,ode,100,100,100,73,100,73,100,NA,196.73658530849923,55157475.630216785,32437.04251311588,-1569.1885559670286,3,66.73413050174713,1.1122355083624522
80,16,linCmt,100,100,100,99,100,99,100,NA,35.51209773915613,9857.876681790483,176.62948248104192,-1573.9951569209184,4,47.438732743263245,0.790645545721054
80,16,ode,100,100,100,68,100,68,100,NA,239.40682839165618,4196456.977121979,32037.80039778551,-1575.967863867893,4,68.8897248506546,1.1481620808442434
300,1,linCmt,100,100,100,100,100,100,100,NA,6.682349769312909,218.77341953329912,9.893699748932088,-5635.084568180827,0,110.09157431125641,1.8348595718542735
300,1,ode,100,100,100,99,100,99,100,NA,7.228719663094573,1484.3867338442915,17.176298745694474,-5634.978211318501,0,169.42207419872284,2.823701236645381
300,2,linCmt,100,100,100,100,100,100,100,NA,10.276625405752263,167.37107982603757,14.32136655303037,-5621.723749411965,1,116.62906455993652,1.9438177426656087
300,2,ode,100,100,100,98,100,98,100,NA,9.588153463573796,1481502.2654458545,44.15347664899663,-5623.175909097979,1,180.28379142284393,3.004729857047399
300,3,linCmt,100,100,100,100,100,100,100,NA,7.877917836833973,138.07087378472517,12.498616185260902,-5618.254682712686,1,116.29677319526672,1.9382795532544455
300,3,ode,100,100,100,99,100,99,100,NA,8.291993784422132,1803.6528938940294,41.746873164287884,-5619.741114395331,1,179.76255226135254,2.996042537689209
300,4,linCmt,100,100,100,100,100,100,100,NA,16.37236390380697,138.46057364299506,24.486736010620856,-5649.44544993252,2,118.67199802398682,1.9778666337331137
300,4,ode,100,100,100,99,100,99,100,NA,13.228957450746497,58417.60317917983,71.40992169310846,-5649.597729016299,2,185.45829582214355,3.090971597035726
300,5,linCmt,100,100,100,100,100,100,100,NA,4.840806970741136,46.15962771168489,7.219932161375073,-5668.058872482189,1,116.54301011562347,1.9423835019270579
300,5,ode,100,100,100,98,100,98,100,NA,12.0977906533498,67389.15573272927,30.487468588887637,-5673.159284167921,1,178.3951370716095,2.9732522845268248
300,6,linCmt,100,100,100,100,100,100,100,NA,10.178325425341587,42.774275583147734,12.870196245388158,-5666.638177388111,2,118.0170818567276,1.9669513642787932
300,6,ode,100,100,100,92,100,92,100,NA,16.982795149304017,2247146.666268233,70.4824403139607,-5671.0532790486395,2,183.84420835971832,3.064070139328639
300,7,linCmt,100,100,100,100,100,100,100,NA,6.6679751448485085,36.593649886138756,9.89579114081887,-5646.4463517956165,2,118.40586853027344,1.973431142171224
300,7,ode,100,100,100,96,100,96,100,NA,16.769005004714913,61221.06431863355,106.63910700756534,-5645.933147274644,2,184.91141724586487,3.0818569540977476
300,8,linCmt,100,100,100,100,100,100,100,NA,16.703721677848897,200.29808406282658,24.317256688847202,-5670.79158674413,3,121.05171239376068,2.0175285398960114
300,8,ode,100,100,100,94,100,94,100,NA,23.747248726230954,128509.81106397347,163.33341863352155,-5675.037576359426,3,191.65288293361664,3.1942147155602774
300,9,linCmt,100,100,100,100,100,100,100,NA,7.6433796295882175,130.04643117758386,19.568797049464862,-5828.591636382437,1,116.96440279483795,1.9494067132472992
300,9,ode,100,100,100,98,100,98,100,NA,18.058483740130228,3405.9171397997225,94.8940415576921,-5818.771056457714,1,180.05515694618225,3.000919282436371
300,10,linCmt,100,100,100,100,100,100,100,NA,11.496853191983066,85.346334453474185,17.360307770340505,-5815.971000721493,2,118.83289551734924,1.9805482586224874
300,10,ode,100,100,100,95,100,95,100,NA,23.850275477095686,5926.831873777311,165.84169359050833,-5818.934501756201,2,185.89765906333923,3.0982943177223206
300,11,linCmt,100,100,100,100,100,100,100,NA,10.069062480664009,99.48738590015665,20.205482521706593,-5800.239056545566,2,118.8773387670517,1.9812889794508617
300,11,ode,100,100,100,95,100,95,100,NA,26.93092314214782,7947.399909334012,183.85150250485574,-5798.457054989447,2,185.91886734962463,3.0986477891604105
300,12,linCmt,100,100,100,100,100,100,100,NA,19.262426072497135,210.1785169224813,32.524087443115555,-5805.252840376177,3,120.89185643196106,2.0148642738660176
300,12,ode,100,100,100,95,100,95,100,NA,33.707004317368984,55068.46996421756,285.2943898276579,-5802.839033536959,3,191.4083400964737,3.190139001607895
300,13,linCmt,100,100,99,99,99,99,99,NA,15.390228663735705,170.4097619561974,41.01316704499857,-5858.98466857383,2,119.4225378036499,1.9903756300608317
300,13,ode,100,100,100,79,100,79,100,NA,136.07134256584263,433529.57694766053,6134.7634079342,-5867.08405394213,2,183.47240900993347,3.057873483498891
300,14,linCmt,100,100,100,99,100,99,100,NA,18.957942138640384,36506.907786717034,61.32300754346139,-5842.620446789804,3,120.99969458580017,2.016661576430003
300,14,ode,100,100,100,75,100,75,100,NA,154.4256264083612,805594.2642708743,2538.632254481019,-5843.322029945525,3,189.92493629455566,3.165415604909261
300,15,linCmt,100,100,100,99,100,99,100,NA,14.37917246607299,1974.587055702208,64.35870608246904,-5835.890146442898,3,121.20186352729797,2.0200310587882995
300,15,ode,100,100,100,85,100,85,100,NA,151.62609523008612,314728.1248426464,3225.823087519505,-5835.655048553316,3,190.61799335479736,3.1769665559132894
300,16,linCmt,100,100,100,100,100,100,100,NA,27.755940934334035,297.6772892940836,78.64792431304768,-5857.003780261009,4,122.63839495182037,2.0439732491970064
300,16,ode,100,100,100,83,100,83,100,NA,129.1711546360235,4338638.431520239,9358.168409585855,-5855.375678679955,4,195.30509877204895,3.255084979534149
