sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,3,ode,vc,BMI,power,9,FALSE,9,1,0,0,9
40,3,ode,vc,BW,lin,38,FALSE,38,1,0,0,38
40,3,ode,vc,CrCL,lin,2,FALSE,2,1,0,0,2
40,3,ode,vc,CrCL,power,6,FALSE,6,1,0,0,6
40,3,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,3,ode,vc,SEX,cat,8,FALSE,8,1,0,0,8
40,4,linCmt,vc,BW,power,100,TRUE,46,0.46,46,54,0
40,4,linCmt,vc,SEX,cat,100,TRUE,85,0.85,85,15,0
40,4,linCmt,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,4,linCmt,cl,BMI,power,5,FALSE,5,1,0,0,5
40,4,linCmt,cl,BW,lin,4,FALSE,4,1,0,0,4
40,4,linCmt,cl,BW,power,5,FALSE,5,1,0,0,5
40,4,linCmt,cl,CrCL,lin,1,FALSE,1,1,0,0,1
40,4,linCmt,cl,CrCL,power,8,FALSE,8,1,0,0,8
40,4,linCmt,cl,RACE,cat,5,FALSE,5,1,0,0,5
40,4,linCmt,cl,SEX,cat,8,FALSE,8,1,0,0,8
40,4,linCmt,vc,BMI,lin,12,FALSE,12,1,0,0,12
40,4,linCmt,vc,BMI,power,19,FALSE,19,1,0,0,19
40,4,linCmt,vc,BW,lin,29,FALSE,29,1,0,0,29
40,4,linCmt,vc,CrCL,lin,7,FALSE,7,1,0,0,7
40,4,linCmt,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,4,linCmt,vc,RACE,cat,10,FALSE,10,1,0,0,10
40,4,ode,vc,BW,power,100,TRUE,47,0.47,47,53,0
40,4,ode,vc,SEX,cat,100,TRUE,85,0.85,85,15,0
40,4,ode,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,4,ode,cl,BMI,power,5,FALSE,5,1,0,0,5
40,4,ode,cl,BW,lin,4,FALSE,4,1,0,0,4
40,4,ode,cl,BW,power,6,FALSE,6,1,0,0,6
40,4,ode,cl,CrCL,lin,1,FALSE,1,1,0,0,1
40,4,ode,cl,CrCL,power,8,FALSE,8,1,0,0,8
40,4,ode,cl,RACE,cat,5,FALSE,5,1,0,0,5
40,4,ode,cl,SEX,cat,8,FALSE,8,1,0,0,8
40,4,ode,vc,BMI,lin,13,FALSE,13,1,0,0,13
40,4,ode,vc,BMI,power,17,FALSE,17,1,0,0,17
40,4,ode,vc,BW,lin,29,FALSE,29,1,0,0,29
40,4,ode,vc,CrCL,lin,8,FALSE,8,1,0,0,8
40,4,ode,vc,CrCL,power,3,FALSE,3,1,0,0,3
40,4,ode,vc,RACE,cat,9,FALSE,9,1,0,0,9
40,5,linCmt,cl,CrCL,power,100,TRUE,72,0.72,72,28,0
40,5,linCmt,cl,BMI,lin,3,FALSE,3,1,0,0,3
40,5,linCmt,cl,BMI,power,3,FALSE,3,1,0,0,3
40,5,linCmt,cl,BW,lin,2,FALSE,2,1,0,0,2
40,5,linCmt,cl,BW,power,4,FALSE,4,1,0,0,4
40,5,linCmt,cl,CrCL,lin,27,FALSE,27,1,0,0,27
40,5,linCmt,cl,RACE,cat,11,FALSE,11,1,0,0,11
40,5,linCmt,cl,SEX,cat,2,FALSE,2,1,0,0,2
40,5,linCmt,vc,BMI,lin,2,FALSE,2,1,0,0,2
40,5,linCmt,vc,BMI,power,1,FALSE,1,1,0,0,1
40,5,linCmt,vc,BW,lin,3,FALSE,3,1,0,0,3
40,5,linCmt,vc,BW,power,5,FALSE,5,1,0,0,5
40,5,linCmt,vc,CrCL,lin,4,FALSE,4,1,0,0,4
40,5,linCmt,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,5,linCmt,vc,RACE,cat,9,FALSE,9,1,0,0,9
40,5,linCmt,vc,SEX,cat,2,FALSE,2,1,0,0,2
40,5,ode,cl,CrCL,power,100,TRUE,72,0.72,72,28,0
40,5,ode,cl,BMI,lin,3,FALSE,3,1,0,0,3
40,5,ode,cl,BMI,power,3,FALSE,3,1,0,0,3
40,5,ode,cl,BW,lin,4,FALSE,4,1,0,0,4
40,5,ode,cl,BW,power,4,FALSE,4,1,0,0,4
40,5,ode,cl,CrCL,lin,27,FALSE,27,1,0,0,27
40,5,ode,cl,RACE,cat,11,FALSE,11,1,0,0,11
40,5,ode,cl,SEX,cat,2,FALSE,2,1,0,0,2
40,5,ode,vc,BMI,lin,3,FALSE,3,1,0,0,3
40,5,ode,vc,BMI,power,1,FALSE,1,1,0,0,1
40,5,ode,vc,BW,lin,4,FALSE,4,1,0,0,4
40,5,ode,vc,BW,power,5,FALSE,5,1,0,0,5
40,5,ode,vc,CrCL,lin,3,FALSE,3,1,0,0,3
40,5,ode,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,5,ode,vc,RACE,cat,9,FALSE,9,1,0,0,9
40,5,ode,vc,SEX,cat,3,FALSE,3,1,0,0,3
40,6,linCmt,cl,CrCL,power,100,TRUE,69,0.69,69,31,0
40,6,linCmt,vc,SEX,cat,100,TRUE,86,0.86,86,14,0
40,6,linCmt,cl,BMI,lin,6,FALSE,6,1,0,0,6
40,6,linCmt,cl,BMI,power,5,FALSE,5,1,0,0,5
40,6,linCmt,cl,BW,lin,6,FALSE,6,1,0,0,6
40,6,linCmt,cl,BW,power,3,FALSE,3,1,0,0,3
40,6,linCmt,cl,CrCL,lin,28,FALSE,28,1,0,0,28
40,6,linCmt,cl,RACE,cat,6,FALSE,6,1,0,0,6
40,6,linCmt,cl,SEX,cat,6,FALSE,6,1,0,0,6
40,6,linCmt,vc,BMI,lin,4,FALSE,4,1,0,0,4
40,6,linCmt,vc,BMI,power,1,FALSE,1,1,0,0,1
40,6,linCmt,vc,BW,lin,3,FALSE,3,1,0,0,3
40,6,linCmt,vc,BW,power,6,FALSE,6,1,0,0,6
