sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,3,ode,TVKA,structural_other,0.7,39,0,0,0,0,0
80,3,ode,TVQ,structural_other,1.8,39,4.030414501720382,3.7256934290897576,4.030414501720382,4.102083697132041,5.7801738392249895
80,3,ode,TVVp,structural_other,80,39,1.6653530437022466,1.5695186341514118,1.6653530437022466,2.083802123274189,3.252304641476932
80,3,ode,cov_VcCL,structural_other,0.02,39,-8.9537054725,-14.784333774461796,24.977725385000003,47.32735418401156,87.5949843772
80,3,ode,var_CL,structural_other,0.1,39,-7.012780629700025,-1.1395616415666756,14.211070563999991,18.493831525396487,25.986716612560002
80,3,ode,var_Vc,structural_other,0.1,39,-38.49847158169998,-37.495235127864106,38.49847158169998,40.46408245885877,54.724451345840016
80,4,linCmt,VcBW,covariate_beta,1,27,-9.776630322099999,-9.75734341041111,14.613808743900004,16.351679114992137,26.993097877920004
80,4,linCmt,VcSEX,covariate_beta,0.4054651081081644,27,-6.052654135067413,-6.058502066457611,10.932278494111697,16.29211640564369,28.67535610106009
80,4,linCmt,TVCL,structural_intercept,0.6,27,1.5441713126107723,1.1394536219585822,3.1638006975345245,3.804167187430703,5.546857947650119
80,4,linCmt,TVVc,structural_intercept,20,27,1.5179701276874447,2.4372468361457384,2.284866560103591,4.531490179046853,8.199362066263205
80,4,linCmt,ResErr,structural_other,0.1,27,9.415480721,9.036260297629624,9.415480721,9.747429532184931,13.9320167254
80,4,linCmt,TVKA,structural_other,0.7,27,0,0,0,0,0
80,4,linCmt,TVQ,structural_other,1.8,27,3.6681919807932424,3.5703049630642725,3.6681919807932424,4.071999725643526,5.9215336691697384
80,4,linCmt,TVVp,structural_other,80,27,1.33883264151482,1.414886566644074,1.348604564613165,2.1893171264762348,3.278170945233758
80,4,linCmt,cov_VcCL,structural_other,0.02,27,-19.342706888999977,-11.290757857827781,33.87892855949997,40.141407914680336,55.04574425029995
80,4,linCmt,var_CL,structural_other,0.1,27,-6.873811485500022,-5.759444082300001,8.158318767099992,14.714033223338783,27.039484746480042
80,4,linCmt,var_Vc,structural_other,0.1,27,-28.432546654200042,-23.050662019144454,28.43982876999998,31.019084346692978,46.934462905180006
80,4,ode,VcBW,covariate_beta,1,28,-9.813156171499998,-8.825636975457144,14.587549654549997,16.292602050691436,26.708387521380004
80,4,ode,VcSEX,covariate_beta,0.4054651081081644,28,-7.049241196862645,-7.263322232945607,12.107919933989377,17.809871143378064,29.697122158324586
80,4,ode,TVCL,structural_intercept,0.6,28,1.5701385267654542,1.2566385478560342,3.13218210474119,3.8278405779162834,5.4828506507672365
80,4,ode,TVVc,structural_intercept,20,28,1.5077398189936453,2.672028220088,2.6416821658579703,4.794270477617557,8.85902478025137
80,4,ode,ResErr,structural_other,0.1,28,8.980353174499994,8.940342585321423,8.980353174499994,9.596680075289184,14.011040768499997
80,4,ode,TVKA,structural_other,0.7,28,0,0,0,0,0
80,4,ode,TVQ,structural_other,1.8,28,3.5318832380106184,3.3623425440505916,3.5318832380106184,4.022887733291292,5.769471210234435
80,4,ode,TVVp,structural_other,80,28,1.6220292408779182,1.3514892496042372,1.630155183546238,2.1511089465507345,3.248497821523527
80,4,ode,cov_VcCL,structural_other,0.02,28,-18.12506647024998,-8.68941180736786,33.76751146149999,40.848671397951584,56.47269625575002
80,4,ode,var_CL,structural_other,0.1,28,-6.506408489900021,-5.5598081796357155,8.001390302800019,14.478591572987428,26.770181395950015
80,4,ode,var_Vc,structural_other,0.1,28,-23.27829988265001,-22.41897249993929,27.15526791615,30.39400956396239,45.03086163071001
80,5,linCmt,CLcrCL,covariate_beta,0.5,61,4.787725555,2.746318037944261,10.760299633199999,18.090621206255047,29.3432636608
80,5,linCmt,TVCL,structural_intercept,0.6,61,0.37956327962079817,0.40745625086576903,2.1281948544555895,3.3730564935256035,5.545654353517301
80,5,linCmt,TVVc,structural_intercept,20,61,0.0770344038684101,0.21887857565487603,2.9725606619552813,4.374883853371563,7.406201964068355
80,5,linCmt,ResErr,structural_other,0.1,61,15.098664030999991,14.281102307311471,15.098664030999991,15.199390890444844,20.656857429999995
80,5,linCmt,TVKA,structural_other,0.7,61,0,0,0,0,0
80,5,linCmt,TVQ,structural_other,1.8,61,3.5659424606483907,3.5083453655712082,3.5659424606483907,3.86966169456734,5.565734963393311
80,5,linCmt,TVVp,structural_other,80,61,2.211738834126482,1.9955183635696514,2.211738834126482,2.4125268061255385,3.6323510595543063
80,5,linCmt,cov_VcCL,structural_other,0.02,61,-24.096875616000005,-19.78306267408213,37.31133191199999,48.348626788736595,78.44756702904999
80,5,linCmt,var_CL,structural_other,0.1,61,-8.048450534599974,-6.610403865991805,13.700604285999992,19.642585964525676,30.899921210000013
80,5,linCmt,var_Vc,structural_other,0.1,61,-50.60189935070001,-48.11856397488853,50.60189935070001,51.25866429435892,66.9573941445
80,5,ode,CLcrCL,covariate_beta,0.5,62,3.9683261075000087,2.4003262024935483,10.920530342200003,18.121431338692542,29.155324593019998
80,5,ode,TVCL,structural_intercept,0.6,62,0.4041958135951226,0.449778764473331,2.1282458229850976,3.372906637054017,5.533873770023612
80,5,ode,TVVc,structural_intercept,20,62,0.2874376128413392,0.2575495732118802,2.860668933633255,4.368698702999213,7.352140370336431
80,5,ode,ResErr,structural_other,0.1,62,14.464238893999998,14.33914146954838,14.464238893999998,15.289378825409845,21.46797485269999
80,5,ode,TVKA,structural_other,0.7,62,0,0,0,0,0
80,5,ode,TVQ,structural_other,1.8,62,3.7290607158687346,3.543121611849128,3.7290607158687346,3.910191034293485,5.621434080019425
80,5,ode,TVVp,structural_other,80,62,2.2484513645548176,2.0214112555620227,2.2484513645548176,2.4355525236935214,3.3464185726604714
80,5,ode,cov_VcCL,structural_other,0.02,62,-22.345697233249975,-19.767312086964512,36.65184939699997,48.22875172005941,78.216093125345
80,5,ode,var_CL,structural_other,0.1,62,-8.672362842850015,-6.748778393187095,13.850905474650006,19.60868972551003,30.511277316700003
80,5,ode,var_Vc,structural_other,0.1,62,-50.14646699424997,-48.23753489089516,50.14646699424997,51.43872836642147,67.40585167951
80,6,linCmt,CLcrCL,covariate_beta,0.5,63,1.8599601827999912,2.286973946568254,8.821710265799998,16.617866872421487,27.132865341160006
80,6,linCmt,VcSEX,covariate_beta,0.4054651081081644,63,-7.204260108214278,-5.473311722097852,10.825771937805005,19.632668571652573,37.08103128863877
80,6,linCmt,TVCL,structural_intercept,0.6,63,1.831849439253778,1.8615394662951141,2.8030794689608935,4.181641927174832,6.214655751626006
80,6,linCmt,TVVc,structural_intercept,20,63,0.6843965728145562,0.8242938287924415,2.796311662104163,4.977445252741805,7.716927690583046
80,6,linCmt,ResErr,structural_other,0.1,63,11.768515822999994,11.789137548063486,11.768515822999994,12.436134747735553,17.220152335399995
80,6,linCmt,TVKA,structural_other,0.7,63,0,0,0,0,0
80,6,linCmt,TVQ,structural_other,1.8,63,3.503055497844662,3.5143930143295097,3.503055497844662,3.9317839088353947,5.848281885423306
80,6,linCmt,TVVp,structural_other,80,63,1.7838555944402756,1.8067920802627253,1.7838555944402756,2.1840141010771372,3.156832105694548
80,6,linCmt,cov_VcCL,structural_other,0.02,63,-3.610729999999982,-5.436672217166672,29.754334917000016,41.37429799233722,71.17394685019002
80,6,linCmt,var_CL,structural_other,0.1,63,-3.505966754999992,-2.8980493383714374,13.000350933000004,16.809756721097756,26.67307630580003
80,6,linCmt,var_Vc,structural_other,0.1,63,-32.41618723010002,-29.57731021703969,32.41618723010002,33.93087357468294,47.460862245719994
80,6,ode,CLcrCL,covariate_beta,0.5,63,1.8073568778000038,2.275049719507937,8.850173940600003,16.59030257129007,27.132855428720003
80,6,ode,VcSEX,covariate_beta,0.4054651081081644,63,-7.039008797410672,-5.465059003500912,10.7825316918519,19.650420661890426,37.187860909125966
80,6,ode,TVCL,structural_intercept,0.6,63,1.883444804709089,1.8236447204943982,2.7891592504419123,4.139075179219375,6.12120722913173
80,6,ode,TVVc,structural_intercept,20,63,0.5712557900006132,0.8551221383704986,2.885362840509238,4.979958043364143,7.719907825572378
80,6,ode,ResErr,structural_other,0.1,63,12.152301748,11.725622273841264,12.152301748,12.413514295507067,17.342951500799998
80,6,ode,TVKA,structural_other,0.7,63,0,0,0,0,0
80,6,ode,TVQ,structural_other,1.8,63,3.4940515965766257,3.4850228017368687,3.4940515965766257,3.898102079164958,5.696728855935041
80,6,ode,TVVp,structural_other,80,63,1.72703209989848,1.7705065079470315,1.72703209989848,2.143669734463198,3.190588736847275
80,6,ode,cov_VcCL,structural_other,0.02,63,-3.61962216399999,-5.060133322427788,28.048730850499958,41.36655704066342,71.48368547546993
80,6,ode,var_CL,structural_other,0.1,63,-3.5719763869000163,-2.9499570436317577,12.899176414,16.80429372050865,26.68039921402
80,6,ode,var_Vc,structural_other,0.1,63,-30.1945923369,-29.58841679079207,30.1945923369,33.9217441265007,47.309882019340016
80,7,linCmt,CLcrCL,covariate_beta,0.5,31,1.767415343800005,0.8750861620967741,12.4273228892,16.277815526377662,23.713103575799998
80,7,linCmt,VcBW,covariate_beta,1,31,-9.849815703599996,-9.835342989664515,10.737802255000005,16.012557595890335,26.390236295799994
80,7,linCmt,TVCL,structural_intercept,0.6,31,0.20118386721990067,0.2238426790444704,2.2563110358364002,2.998915876182928,4.576229454176147
80,7,linCmt,TVVc,structural_intercept,20,31,0.934341213102723,0.462832369685527,3.7749832450084857,5.026854590283811,9.473941354412005
80,7,linCmt,ResErr,structural_other,0.1,31,13.61502598299999,13.37608314590322,13.61502598299999,14.15197691313908,18.518690768999992
80,7,linCmt,TVKA,structural_other,0.7,31,0,0,0,0,0
80,7,linCmt,TVQ,structural_other,1.8,31,4.0817467599182,3.848485744133728,4.0817467599182,4.077364697095421,4.95323057909542
80,7,linCmt,TVVp,structural_other,80,31,2.087087940953012,2.0134511960574155,2.087087940953012,2.3468739747657357,3.2973124270692726
80,7,linCmt,cov_VcCL,structural_other,0.02,31,-18.518562827500013,-9.150968171136293,27.59782941950008,41.88795568824447,65.21279873700001
80,7,linCmt,var_CL,structural_other,0.1,31,-6.1376811881000135,-3.546715299583878,10.229004057000044,16.285968610490404,27.88748293499996
80,7,linCmt,var_Vc,structural_other,0.1,31,-35.194795036500025,-35.05772474209033,35.194795036500025,40.313425448582386,59.208034450299984
80,7,ode,CLcrCL,covariate_beta,0.5,32,2.2961014710999983,2.19217151820625,12.503654097000005,17.731569571757838,25.41891682698001
80,7,ode,VcBW,covariate_beta,1,32,-8.794772440000004,-9.68453612695,10.372757283,15.706334847770911,26.118701525820004
80,7,ode,TVCL,structural_intercept,0.6,32,0.14538229427532579,0.1538414473051698,2.1303277700768697,2.986117381888535,4.479157459486897
80,7,ode,TVVc,structural_intercept,20,32,0.7440068692897661,0.36387486860033624,3.6045444996892684,5.009732619463266,9.296555047038288
80,7,ode,ResErr,structural_other,0.1,32,13.517941719999996,13.214539284656244,13.517941719999996,13.995008488291875,17.875440039699992
80,7,ode,TVKA,structural_other,0.7,32,0,0,0,0,0
80,7,ode,TVQ,structural_other,1.8,32,4.048089532781389,3.8439645813849106,4.048089532781389,4.071382705489385,4.912058293562584
