sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,linCmt,TVCL,structural_intercept,0.6,100,1.248364325156228,3.5189902604120853,4.786634182081418,15.204831755820427,26.71016848400886
40,1,linCmt,TVVc,structural_intercept,20,100,0.3314465247168918,1.0657209551492144,4.8106249221327335,9.378936407616019,12.988056492567432
40,1,linCmt,ResErr,structural_other,0.1,100,13.41409463249999,13.781613126659995,13.41409463249999,15.078361220255484,21.325126002300003
40,1,linCmt,TVKA,structural_other,0.7,100,0,0,0,0,0
40,1,linCmt,TVQ,structural_other,1.8,100,3.152046075921443,3.3179046228410525,3.152046075921443,3.823075833805561,5.727116131835349
40,1,linCmt,TVVp,structural_other,80,100,1.2588305641319497,1.2149781546694283,1.4134985972799365,2.1258227341366562,3.199991417352847
40,1,linCmt,cov_VcCL,structural_other,0.02,100,-15.373503212499994,-9.9713992440517,44.35297625975002,61.99581215431908,96.26914633789998
40,1,linCmt,var_CL,structural_other,0.1,100,-9.491797118549993,-9.481819335998006,19.111882409850008,25.218273817050868,39.84817673257004
40,1,linCmt,var_Vc,structural_other,0.1,100,-46.082657243950024,-44.982482695459005,46.082657243950024,49.86463020124015,70.06719883200002
40,1,ode,TVCL,structural_intercept,0.6,100,1.0998823834590574,3.465886628569761,4.590682726812761,15.189609257658034,26.68654751188855
40,1,ode,TVVc,structural_intercept,20,100,0.29841019820189274,0.9759515092511631,4.612549728392904,9.305239779376464,12.956638503796448
40,1,ode,ResErr,structural_other,0.1,100,13.505872938499989,13.803648643679994,13.505872938499989,15.070084937007525,21.39145847809999
40,1,ode,TVKA,structural_other,0.7,100,0,0,0,0,0
40,1,ode,TVQ,structural_other,1.8,100,3.1657626766462608,3.343627055008796,3.1657626766462608,3.8468328959015983,5.745226518677653
40,1,ode,TVVp,structural_other,80,100,1.2319334561147333,1.2379937552118092,1.4576137944174405,2.1259138343971733,3.2491576431367415
40,1,ode,cov_VcCL,structural_other,0.02,100,-14.92132817525,-9.998527449715306,44.5075085585,61.97413249677448,96.60665586428439
40,1,ode,var_CL,structural_other,0.1,100,-9.36346133039999,-9.254160554930008,19.232993792450003,25.234897137528623,40.043289887970026
40,1,ode,var_Vc,structural_other,0.1,100,-46.097095180600014,-45.073358571040004,46.097095180600014,49.97322183694058,70.18939879599998
40,2,linCmt,VcSEX,covariate_beta,0.4054651081081644,90,1.7924177882395902,3.325174544103795,13.61251232061036,25.181789625927877,39.94166527003185
40,2,linCmt,TVCL,structural_intercept,0.6,100,-0.025098762706824783,0.7321814155044096,3.9682216726237938,10.441367319819781,13.415327429276275
40,2,linCmt,TVVc,structural_intercept,20,100,0.21690948458463313,1.2369906890073963,5.797563848317049,14.646209123723237,17.90538146344311
40,2,linCmt,ResErr,structural_other,0.1,100,8.075806448499998,8.299103005361994,8.219931825499994,10.681466966880619,16.142846881899995
40,2,linCmt,TVKA,structural_other,0.7,100,0,0,0,0,0
40,2,linCmt,TVQ,structural_other,1.8,100,2.0217901390639135,2.2217679370985755,2.0271698052071185,3.329353487894305,5.412846084981979
40,2,linCmt,TVVp,structural_other,80,100,0.28728871417625257,0.4310274524699379,1.1318967912767253,1.659608112260725,2.722970798729968
40,2,linCmt,cov_VcCL,structural_other,0.02,100,-13.218503654750002,-9.34753601146346,34.109245478750005,56.32646943276919,96.51111484324402
40,2,linCmt,var_CL,structural_other,0.1,100,-14.256377540800024,-11.47924274936501,20.84539059715003,25.39333688259563,38.72597403166003
40,2,linCmt,var_Vc,structural_other,0.1,100,-35.17012344650001,-32.072177571038004,38.16168145949999,41.9188350065652,64.64609084182
40,2,ode,VcSEX,covariate_beta,0.4054651081081644,90,0.3980566952767396,3.2452936046781518,13.745573711396197,25.22620195874338,39.91707957308614
40,2,ode,TVCL,structural_intercept,0.6,100,0.49420279250167454,0.8399490750823055,4.097570325005878,10.472147178872726,13.433045601866572
40,2,ode,TVVc,structural_intercept,20,100,0.29559076293204534,1.2810806549380818,5.789761669612448,14.647377361340263,17.98405842001387
40,2,ode,ResErr,structural_other,0.1,100,8.23929442399999,8.271043641315993,8.23929442399999,10.624224587490946,16.166587790699996
40,2,ode,TVKA,structural_other,0.7,100,0,0,0,0,0
40,2,ode,TVQ,structural_other,1.8,100,1.9773387498650665,2.2007040281652355,2.0135430657680025,3.3272553701126077,5.4109989919584285
40,2,ode,TVVp,structural_other,80,100,0.3826738387433526,0.4391165761093694,1.2140789668740748,1.6796645838736148,2.694511547779936
40,2,ode,cov_VcCL,structural_other,0.02,100,-11.62990290775002,-9.3047767470921,33.973572676999964,56.5040342561409,98.19986343146456
40,2,ode,var_CL,structural_other,0.1,100,-14.25201749485,-11.416188789581005,20.739905916599998,25.432860577442707,38.801439249499985
40,2,ode,var_Vc,structural_other,0.1,100,-35.342041347100015,-32.103411177137005,37.95052791749998,41.924410392572796,64.86925739636999
40,3,linCmt,VcBW,covariate_beta,1,77,-41.6600409366,-42.16511889352672,70.45496979899998,72.71949624802842,99.057142707896
40,3,linCmt,TVCL,structural_intercept,0.6,100,-0.8503382469786843,1.2408493240535274,3.760354409557872,13.958643053652587,25.80501127687316
40,3,linCmt,TVVc,structural_intercept,20,100,1.2516798134886198,1.3750601310886041,5.7566330531835685,11.603639213896981,17.07138942390444
40,3,linCmt,ResErr,structural_other,0.1,100,10.560639509999998,11.061474506969994,10.560639509999998,12.980203536994475,19.2883737403
40,3,linCmt,TVKA,structural_other,0.7,100,0,0,0,0,0
40,3,linCmt,TVQ,structural_other,1.8,100,2.38097638111555,2.8535606404967844,2.398971157479526,3.838406987360958,5.96169694724447
40,3,linCmt,TVVp,structural_other,80,100,0.909211602178539,0.9088298635506624,1.2982884392511629,2.0668149918131205,3.3129368979262948
