sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,6,linCmt,TVQ,structural_other,1.8,77,3.1069347627270414,3.3198265756185465,3.1069347627270414,3.726634944729051,5.382014549352886
80,6,linCmt,TVVp,structural_other,80,77,1.8651949545519564,1.8116115160944488,1.8651949545519564,2.1942759300480743,3.196176153563347
80,6,linCmt,cov_VcCL,structural_other,0.02,77,-3.610995027000033,-3.859522024555849,31.96055958799999,43.23284555927096,72.13228741334
80,6,linCmt,var_CL,structural_other,0.1,77,-1.8734149806999971,-1.469290814945461,11.610037685999997,16.47334483809144,27.771260357100026
80,6,linCmt,var_Vc,structural_other,0.1,77,-32.41618723010002,-30.978734368602606,32.41618723010002,35.06803630361001,48.41030865710002
80,6,ode,CLcrCL,covariate_beta,0.5,78,1.1923202265999966,1.4698787307435905,11.681812539699997,17.34352113861209,27.865523461859997
80,6,ode,VcSEX,covariate_beta,0.4054651081081644,78,-7.765733579660974,-6.295302217205634,12.70871563008033,20.743366994083207,37.48610218529276
80,6,ode,TVCL,structural_intercept,0.6,78,1.4976682294527792,1.5092980762984565,2.749534896855153,3.985306471643642,5.707609232461447
80,6,ode,TVVc,structural_intercept,20,78,0.7801163984471238,1.1203683672651703,3.0471107245094236,5.046195747785618,7.87633934854173
80,6,ode,ResErr,structural_other,0.1,78,12.230405098999988,11.8844424761282,12.230405098999988,12.631837327159426,17.599234594299993
80,6,ode,TVKA,structural_other,0.7,78,0,0,0,0,0
80,6,ode,TVQ,structural_other,1.8,78,3.1179826589857367,3.3301612802058136,3.1179826589857367,3.7391296872703825,5.436709001535591
80,6,ode,TVVp,structural_other,80,78,1.7740115394421263,1.8064167571396612,1.7740115394421263,2.189282385927211,3.245265014230139
80,6,ode,cov_VcCL,structural_other,0.02,78,-2.771008433000025,-3.474590561411543,29.972345651999998,43.1127359480166,73.055738874345
80,6,ode,var_CL,structural_other,0.1,78,-2.133301108650017,-1.7441561295218035,11.762950226250013,16.491619797103354,27.566040335650012
80,6,ode,var_Vc,structural_other,0.1,78,-31.206965769049987,-30.919419254001284,31.206965769049987,35.02538454338929,49.14382503425999
80,7,linCmt,CLcrCL,covariate_beta,0.5,70,0.1149872667000007,1.62647054878,9.326019641399997,15.598754388804926,23.90066828136001
80,7,linCmt,VcBW,covariate_beta,1,70,-10.136720324499999,-8.36236355464857,12.129799419750004,15.919069039603812,25.734118339630008
80,7,linCmt,TVCL,structural_intercept,0.6,70,0.09361014581311482,0.04852849878933689,2.235154250108081,3.2218038025756646,4.6936709524611695
80,7,linCmt,TVVc,structural_intercept,20,70,0.8446710915437629,1.0613586566120796,3.535099201489169,4.823840056815825,7.673622362790248
80,7,linCmt,ResErr,structural_other,0.1,70,12.900311049499999,12.617524124342852,12.900311049499999,13.51254328239045,18.4915382127
80,7,linCmt,TVKA,structural_other,0.7,70,0,0,0,0,0
80,7,linCmt,TVQ,structural_other,1.8,70,3.600275879431557,3.519964316173373,3.600275879431557,3.8627607703769384,5.17107109399083
80,7,linCmt,TVVp,structural_other,80,70,1.8630380626651808,1.686200333992863,1.9090070141167814,2.202957717547678,3.611313999503151
80,7,linCmt,cov_VcCL,structural_other,0.02,70,-1.8788689297499945,-0.7089838304339375,33.09678004350002,42.82489190725909,65.39578371741001
80,7,linCmt,var_CL,structural_other,0.1,70,-3.6721048628000004,-3.1512532067671497,10.213243308000026,16.341766522626656,27.637655066999972
80,7,linCmt,var_Vc,structural_other,0.1,70,-31.741993941550007,-31.65258569512715,31.741993941550007,36.613324244579495,51.398228470370015
80,7,ode,CLcrCL,covariate_beta,0.5,70,1.0756682729999967,1.7971661599828566,9.5465918047,15.645877896912014,24.614463570820003
80,7,ode,VcBW,covariate_beta,1,70,-10.128925896150005,-8.80451826403,11.308426209299999,15.536772975693077,25.436127826680003
80,7,ode,TVCL,structural_intercept,0.6,70,0.1460153158151789,0.19759667894127317,2.1216634059845196,3.107315734114112,4.580060046161992
80,7,ode,TVVc,structural_intercept,20,70,1.0562314592717392,1.1886687775463867,3.4881866105450854,4.8323165104472245,7.70404656716448
80,7,ode,ResErr,structural_other,0.1,70,13.096361493999995,12.752919649485708,13.096361493999995,13.560304557488836,18.083771464199998
80,7,ode,TVKA,structural_other,0.7,70,0,0,0,0,0
80,7,ode,TVQ,structural_other,1.8,70,3.559748255408489,3.5070679792570814,3.559748255408489,3.84699907763155,5.176626479698702
80,7,ode,TVVp,structural_other,80,70,1.8886463292331968,1.7311467330955153,1.917489449049157,2.2305907736085326,3.6193048668411874
80,7,ode,cov_VcCL,structural_other,0.02,70,-0.8380666879999853,-0.24637604727485674,32.04842117275003,42.360285471222674,67.072679530625
80,7,ode,var_CL,structural_other,0.1,70,-3.823892357249989,-3.097413811827144,9.683104434900002,16.340024633899915,27.782173129200018
80,7,ode,var_Vc,structural_other,0.1,70,-31.730946633650003,-31.45547946783572,31.730946633650003,36.32927611698791,52.90323628413
80,8,linCmt,CLcrCL,covariate_beta,0.5,64,-2.425981531999999,-2.844427753178124,12.5659478707,17.44325811236349,29.653270383500008
80,8,linCmt,VcBW,covariate_beta,1,64,-3.911981095700001,-5.187026553737501,9.935459857000001,15.8229060453867,24.330400759450004
80,8,linCmt,VcSEX,covariate_beta,0.4054651081081644,64,-7.4421701676028365,-5.345053018060451,14.367058814456596,19.85526528537177,31.709127651069736
80,8,linCmt,TVCL,structural_intercept,0.6,64,0.17101011074754924,0.35370732456803855,2.6357230037657997,3.6102648251538425,5.927513360037495
80,8,linCmt,TVVc,structural_intercept,20,64,2.3427353778481668,2.392329311832378,3.7599576084488535,5.387556691538635,9.178363140515897
80,8,linCmt,ResErr,structural_other,0.1,64,10.934645447499996,10.765070930364057,10.934645447499996,11.835499018896721,16.2705734356
80,8,linCmt,TVKA,structural_other,0.7,64,0,0,0,0,0
80,8,linCmt,TVQ,structural_other,1.8,64,3.3010441771858217,3.068723899162822,3.3010441771858217,3.6127040978339355,5.462513485338085
80,8,linCmt,TVVp,structural_other,80,64,1.2751928870972318,1.4519895844837951,1.2751928870972318,2.0369791605285172,2.997544616605161
80,8,linCmt,cov_VcCL,structural_other,0.02,64,7.796185494249987,12.289378174373441,28.94249718975,40.63323139131309,60.84711263795002
