sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,2,linCmt,29,vc,BW,power,FALSE,TRUE,FP
80,2,linCmt,30,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,30,vc,BW,power,FALSE,TRUE,FP
80,2,linCmt,31,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,32,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,32,vc,RACE,cat,FALSE,TRUE,FP
80,2,linCmt,33,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,34,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,35,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,35,cl,BMI,power,FALSE,TRUE,FP
80,2,linCmt,35,cl,BW,power,FALSE,TRUE,FP
80,2,linCmt,35,cl,SEX,cat,FALSE,TRUE,FP
80,2,linCmt,36,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,37,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,38,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,39,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,39,vc,BMI,power,FALSE,TRUE,FP
80,2,linCmt,40,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,41,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,41,cl,BW,power,FALSE,TRUE,FP
80,2,linCmt,41,cl,BMI,power,FALSE,TRUE,FP
80,2,linCmt,42,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,43,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,44,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,44,cl,RACE,cat,FALSE,TRUE,FP
80,2,linCmt,45,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,46,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,47,vc,SEX,cat,TRUE,FALSE,FN
80,2,linCmt,48,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,49,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,49,vc,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,50,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,50,cl,RACE,cat,FALSE,TRUE,FP
80,2,linCmt,51,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,52,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,53,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,54,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,55,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,56,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,56,vc,BMI,power,FALSE,TRUE,FP
80,2,linCmt,56,cl,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,57,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,58,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,59,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,59,vc,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,60,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,61,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,62,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,63,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,64,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,65,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,66,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,67,vc,SEX,cat,TRUE,FALSE,FN
80,2,linCmt,68,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,69,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,70,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,71,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,71,cl,BW,power,FALSE,TRUE,FP
80,2,linCmt,72,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,72,cl,BMI,power,FALSE,TRUE,FP
80,2,linCmt,73,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,74,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,75,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,76,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,77,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,78,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,79,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,80,vc,SEX,cat,TRUE,TRUE,TP
