sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,linCmt,vae,NA,26,ok,TRUE,TRUE,TRUE,-1521.8172428656853,3.6249328113850607,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,47.2303786277771,
80,1,linCmt,vae,NA,27,ok,TRUE,TRUE,TRUE,-1470.835961716194,5.3932623665769635,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,47.45362854003906,
80,1,linCmt,vae,NA,28,ok,TRUE,TRUE,TRUE,-1443.4711910441647,3.1667970636187563,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.84059762954712,
80,1,linCmt,vae,NA,29,ok,TRUE,TRUE,TRUE,-1544.5105012836334,6.170414193001347,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.73630142211914,
80,1,linCmt,vae,NA,30,ok,TRUE,TRUE,TRUE,-1494.1468484264437,3.6703662895131717,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,48.41977572441101,
80,1,linCmt,vae,NA,31,ok,TRUE,TRUE,TRUE,-1518.8656078757178,6.510976327963412,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,48.656155586242676,
80,1,linCmt,vae,NA,32,ok,TRUE,TRUE,TRUE,-1488.2815973516667,4.282232836352717,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,48.269083738327026,
80,1,linCmt,vae,NA,33,ok,TRUE,TRUE,TRUE,-1562.49266628606,5.314085823815344,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,59.08242154121399,
80,1,linCmt,vae,NA,34,ok,TRUE,TRUE,TRUE,-1525.5132835456343,12.205683888300552,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,55.01581144332886,
80,1,linCmt,vae,NA,35,ok,TRUE,TRUE,TRUE,-1541.236107155892,5.694741505183124,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,50.481526136398315,
