sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,5,ode,cl,BMI,power,4,FALSE,4,1,0,0,4
80,5,ode,cl,BW,power,3,FALSE,3,1,0,0,3
80,5,ode,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,5,ode,cl,SEX,cat,5,FALSE,5,1,0,0,5
80,5,ode,vc,BMI,power,2,FALSE,2,1,0,0,2
80,5,ode,vc,CrCL,power,6,FALSE,6,1,0,0,6
80,5,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,6,linCmt,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,6,linCmt,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,6,linCmt,cl,BMI,power,3,FALSE,3,1,0,0,3
80,6,linCmt,cl,BW,power,3,FALSE,3,1,0,0,3
80,6,linCmt,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,6,linCmt,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,6,linCmt,vc,BMI,power,2,FALSE,2,1,0,0,2
80,6,linCmt,vc,BW,power,3,FALSE,3,1,0,0,3
80,6,linCmt,vc,CrCL,power,6,FALSE,6,1,0,0,6
80,6,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,6,ode,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,6,ode,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,6,ode,cl,BMI,power,2,FALSE,2,1,0,0,2
80,6,ode,cl,BW,power,3,FALSE,3,1,0,0,3
80,6,ode,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,6,ode,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,6,ode,vc,BMI,power,2,FALSE,2,1,0,0,2
80,6,ode,vc,BW,power,2,FALSE,2,1,0,0,2
80,6,ode,vc,CrCL,power,6,FALSE,6,1,0,0,6
80,6,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,7,linCmt,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,7,linCmt,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,7,linCmt,cl,BMI,power,3,FALSE,3,1,0,0,3
80,7,linCmt,cl,BW,power,2,FALSE,2,1,0,0,2
80,7,linCmt,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,7,linCmt,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,7,linCmt,vc,BMI,power,14,FALSE,14,1,0,0,14
80,7,linCmt,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,7,linCmt,vc,RACE,cat,5,FALSE,5,1,0,0,5
80,7,linCmt,vc,SEX,cat,2,FALSE,2,1,0,0,2
80,7,ode,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,7,ode,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,7,ode,cl,BMI,power,3,FALSE,3,1,0,0,3
80,7,ode,cl,BW,power,2,FALSE,2,1,0,0,2
80,7,ode,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,7,ode,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,7,ode,vc,BMI,power,14,FALSE,14,1,0,0,14
80,7,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,7,ode,vc,RACE,cat,5,FALSE,5,1,0,0,5
80,7,ode,vc,SEX,cat,3,FALSE,3,1,0,0,3
80,8,linCmt,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,8,linCmt,vc,BW,power,100,TRUE,81,0.81,81,19,0
80,8,linCmt,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,8,linCmt,cl,BMI,power,2,FALSE,2,1,0,0,2
80,8,linCmt,cl,BW,power,6,FALSE,6,1,0,0,6
80,8,linCmt,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,8,linCmt,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,8,linCmt,vc,BMI,power,20,FALSE,20,1,0,0,20
80,8,linCmt,vc,CrCL,power,8,FALSE,8,1,0,0,8
80,8,linCmt,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,8,ode,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,8,ode,vc,BW,power,100,TRUE,81,0.81,81,19,0
80,8,ode,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,8,ode,cl,BMI,power,2,FALSE,2,1,0,0,2
80,8,ode,cl,BW,power,6,FALSE,6,1,0,0,6
80,8,ode,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,8,ode,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,8,ode,vc,BMI,power,20,FALSE,20,1,0,0,20
80,8,ode,vc,CrCL,power,8,FALSE,8,1,0,0,8
80,8,ode,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,9,linCmt,cl,BW,power,100,TRUE,86,0.86,86,14,0
80,9,linCmt,cl,BMI,power,13,FALSE,13,1,0,0,13
80,9,linCmt,cl,CrCL,power,6,FALSE,6,1,0,0,6
80,9,linCmt,cl,RACE,cat,8,FALSE,8,1,0,0,8
80,9,linCmt,cl,SEX,cat,7,FALSE,7,1,0,0,7
80,9,linCmt,vc,BMI,power,5,FALSE,5,1,0,0,5
80,9,linCmt,vc,BW,power,3,FALSE,3,1,0,0,3
80,9,linCmt,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,9,linCmt,vc,RACE,cat,6,FALSE,6,1,0,0,6
80,9,ode,cl,BW,power,100,TRUE,86,0.86,86,14,0
80,9,ode,cl,BMI,power,13,FALSE,13,1,0,0,13
80,9,ode,cl,CrCL,power,6,FALSE,6,1,0,0,6
80,9,ode,cl,RACE,cat,8,FALSE,8,1,0,0,8
