sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,5,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,5,ode,focei,bobyqa,cl,BMI,power,3,FALSE,3,1,0,0,3
80,5,ode,focei,bobyqa,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,5,ode,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,5,ode,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,5,ode,focei,bobyqa,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,6,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,6,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,6,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,6,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
80,6,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,6,linCmt,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,6,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,6,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,6,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,6,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,6,ode,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
80,6,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,6,ode,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,6,ode,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,6,ode,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,7,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,7,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,92,0.92,92,8,0
80,7,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
80,7,linCmt,focei,bobyqa,vc,BMI,power,9,FALSE,9,1,0,0,9
80,7,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,7,linCmt,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,7,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,7,ode,focei,bobyqa,vc,BW,power,100,TRUE,92,0.92,92,8,0
80,7,ode,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
80,7,ode,focei,bobyqa,vc,BMI,power,9,FALSE,9,1,0,0,9
80,7,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,7,ode,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,8,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,8,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,8,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,8,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,8,linCmt,focei,bobyqa,cl,BW,power,3,FALSE,3,1,0,0,3
80,8,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,8,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,8,linCmt,focei,bobyqa,vc,BMI,power,11,FALSE,11,1,0,0,11
80,8,linCmt,focei,bobyqa,vc,CrCL,power,5,FALSE,5,1,0,0,5
80,8,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,8,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
