sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,2,linCmt,focei,bobyqa,46,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,47,vc,SEX,cat,TRUE,FALSE,FN
80,2,linCmt,focei,bobyqa,48,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,49,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,50,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,51,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,52,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,53,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,54,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,55,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,56,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,57,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,58,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,59,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,59,vc,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,60,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,61,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,62,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,63,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,64,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,65,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,66,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,67,vc,SEX,cat,TRUE,FALSE,FN
80,2,linCmt,focei,bobyqa,68,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,69,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,70,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,71,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,72,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,73,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,74,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,75,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,76,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,77,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,78,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,79,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,80,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,81,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,82,vc,SEX,cat,TRUE,TRUE,TP
