sample_N,scenario,structure,estimator,outer_opt,dataset_id,has_error,file_path
80,1,linCmt,focei,bobyqa,49,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds049.rds
80,1,linCmt,focei,bobyqa,50,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds050.rds
80,1,linCmt,focei,bobyqa,51,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds051.rds
80,1,linCmt,focei,bobyqa,52,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds052.rds
80,1,linCmt,focei,bobyqa,53,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds053.rds
80,1,linCmt,focei,bobyqa,54,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds054.rds
80,1,linCmt,focei,bobyqa,55,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds055.rds
80,1,linCmt,focei,bobyqa,56,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds056.rds
80,1,linCmt,focei,bobyqa,57,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds057.rds
80,1,linCmt,focei,bobyqa,58,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds058.rds
80,1,linCmt,focei,bobyqa,59,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds059.rds
80,1,linCmt,focei,bobyqa,60,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds060.rds
80,1,linCmt,focei,bobyqa,61,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds061.rds
80,1,linCmt,focei,bobyqa,62,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds062.rds
80,1,linCmt,focei,bobyqa,63,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds063.rds
80,1,linCmt,focei,bobyqa,64,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds064.rds
80,1,linCmt,focei,bobyqa,65,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds065.rds
80,1,linCmt,focei,bobyqa,66,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds066.rds
80,1,linCmt,focei,bobyqa,67,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds067.rds
